Row.names	sub_grp_6	d	p	c	o	f	g	s	
564	GFS_14275	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__SXVE01	s__
575	GFS_14463	1	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA1135	f__GCA-002686595	g__JAEUHZ01	s__
579	GFS_14498	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Microcoleaceae	g__Microcoleus	s__
583	GFS_1480	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__IMCC26256	g__IMCC26256	s__
592	GFS_1590	1	d__Bacteria	p__Planctomycetota	c__PLA2	o__PLA2	f__JAEUHO01	g__JAEUHO01	s__
593	GFS_1591	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
594	GFS_1593	1	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__QHBO01	f__QHBO01	g__CF-167	s__
596	GFS_1600	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__AG11	s__
600	GFS_1607	1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Thermoflexales	f__J036	g__AQU-03	s__
602	GFS_1629	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__UBA4720	s__
610	GFS_1675	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__PNKF01	s__
615	GFS_171	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JABFXC01	s__
616	GFS_1749	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__	s__
620	GFS_1765	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
625	GFS_1844	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__JADJPG01	g__JADJPG01	s__
632	GFS_1943	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
636	GFS_1997	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
637	GFS_2025	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__2-12-FULL-66-21	s__
641	GFS_2050	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__JACORV01	g__	s__
645	GFS_2073	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
648	GFS_2106	1	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
649	GFS_2111	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__SCN-69-37	g__SCUN01	s__
652	GFS_2120	1	d__Bacteria	p__Armatimonadota	c__Abditibacteria	o__Abditibacteriales	f__Abditibacteriaceae	g__JZH01	s__
653	GFS_2122	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
657	GFS_2135	1	d__Bacteria	p__Planctomycetota	c__UBA11346	o__UBA11346	f__UBA11346	g__CAIUVD01	s__
660	GFS_2143	1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__
662	GFS_2147	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
668	GFS_2191	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__QIAJ01	s__
669	GFS_2200	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Microtrichaceae	g__	s__
670	GFS_2205	1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__UBA6663	g__	s__
671	GFS_2207	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__Gp1-AA145	s__
676	GFS_2217	1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
677	GFS_2219	1	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__UBA5189	s__
681	GFS_2232	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__WLNW01	g__WLNW01	s__
682	GFS_2254	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
683	GFS_2255	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Microcoleaceae	g__Microcoleus	s__
688	GFS_2304	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Demequinaceae	g__Demequina	s__
692	GFS_2330	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
695	GFS_2352	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__PALSA-747	s__
697	GFS_2368	1	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
703	GFS_2415	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__JADJPG01	g__	s__
707	GFS_2458	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__JAENVS01	s__
709	GFS_2489	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__UBA9464	g__	s__
710	GFS_2494	1	d__Bacteria	p__Omnitrophota	c__Omnitrophia	o__Omnitrophales	f__UBA2337	g__UBA2337	s__
711	GFS_2506	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__SXWH01	s__
718	GFS_2522	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
724	GFS_2557	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
727	GFS_2586	1	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__
728	GFS_2587	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
730	GFS_2600	1	d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__UBA11236	f__UBA11236	g__Chersky-265	s__
734	GFS_2643	1	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
736	GFS_2647	1	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__F11	f__F11	g__	s__
740	GFS_2719	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__AG11	s__
741	GFS_2724	1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
742	GFS_2728	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__	s__
743	GFS_2729	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
746	GFS_2771	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__SXTU01	g__SXTU01	s__
759	GFS_2886	1	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__JADJVL01	s__
762	GFS_2908	1	d__Bacteria	p__Nitrospirota	c__UBA9217	o__UBA9217	f__UBA9217	g__GWC2-56-14	s__
763	GFS_2923	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chroococcidiopsidaceae	g__Aliterella	s__
766	GFS_2948	1	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA8401	g__UBA8401	s__
769	GFS_2961	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__SZUA-35	g__CADEDH01	s__
770	GFS_2964	1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__
771	GFS_2967	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__
772	GFS_2977	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
779	GFS_3046	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Nakamurellaceae	g__Nakamurella	s__
783	GFS_3080	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__GCA-002050365	s__
786	GFS_3101	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__VFMC01	s__
788	GFS_3107	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
791	GFS_3114	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__DSOI01	s__
792	GFS_3124	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
793	GFS_3132	1	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__JAAFIG01	g__	s__
795	GFS_3143	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACMLX01	s__
798	GFS_3154	1	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__SZUA-252	f__SZUA-252	g__SZUA-252	s__
801	GFS_3178	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
808	GFS_3240	1	d__Bacteria	p__Armatimonadota	c__Abditibacteria	o__Abditibacteriales	f__Abditibacteriaceae	g__Abditibacterium	s__
809	GFS_3241	1	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__JACMPS01	s__JACMPS01 sp014377395
821	GFS_3356	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
824	GFS_3381	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Haloferula	s__
831	GFS_3414	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__UBA11358	g__SCTL01	s__
839	GFS_3520	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__SXWH01	s__
844	GFS_3651	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
857	GFS_3830	1	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Lentisphaerales	f__Lentisphaeraceae	g__	s__
861	GFS_3872	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__PNKF01	s__
863	GFS_3877	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
865	GFS_3883	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Fen-336	f__JAGNNV01	g__JAGNNV01	s__
866	GFS_3885	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
867	GFS_3888	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
871	GFS_3927	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
877	GFS_3985	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__PALSA-747	s__
879	GFS_3998	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Lacunisphaera	s__
883	GFS_4015	1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Thermoflexales	f__J036	g__AQU-03	s__
886	GFS_4024	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACMLX01	s__
887	GFS_4032	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__SXWH01	s__
889	GFS_4040	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
891	GFS_4045	1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_F	s__
894	GFS_4080	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
897	GFS_4112	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
902	GFS_4145	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
910	GFS_4292	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
915	GFS_4334	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__CADEFD01	s__
918	GFS_4345	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
920	GFS_4384	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__CAIRSA01	s__
932	GFS_449	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
933	GFS_4518	1	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
934	GFS_4519	1	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA8401	g__UBA8401	s__
939	GFS_4539	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACMLX01	s__
940	GFS_4547	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
942	GFS_4605	1	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__SZUA-252	f__SZUA-252	g__WS-7	s__
943	GFS_4616	1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Miltoncostaeales	f__	g__	s__
944	GFS_4620	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__CADEFD01	s__
951	GFS_4682	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella_C	s__
956	GFS_4702	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
958	GFS_4712	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__PALSA-747	s__
961	GFS_4721	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Jatrophihabitantaceae	g__Iso899	s__
962	GFS_4722	1	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__Dormibacterales	f__Dormibacteraceae	g__UBA6019	s__UBA6019 sp002427995
963	GFS_4723	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
965	GFS_4729	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
967	GFS_4730	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Jatrophihabitantaceae	g__QHCC01	s__
970	GFS_475	1	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfuricurvum	s__
972	GFS_4758	1	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
973	GFS_4789	1	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Baltobacterales	f__Baltobacteraceae	g__Palsa-1515	s__
975	GFS_48	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
978	GFS_4810	1	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Capsulimonadaceae	g__JZD01	s__
981	GFS_4827	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
988	GFS_4930	1	d__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__UBA2268	g__	s__
989	GFS_4931	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
991	GFS_4934	1	d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__UBA11236	f__UBA11236	g__	s__
995	GFS_4950	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__
996	GFS_4958	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
998	GFS_4964	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__
999	GFS_4996	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
1000	GFS_5096	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
1015	GFS_5294	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Prosthecobacter	s__
1016	GFS_5300	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__UBA11320	g__UBA11320	s__
1017	GFS_5301	1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
1019	GFS_5321	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
1020	GFS_5326	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
1025	GFS_5370	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__Planktophila	s__
1031	GFS_5438	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
1033	GFS_5453	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__JABFSM01	s__
1040	GFS_5475	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Lacunisphaera	s__
1041	GFS_5479	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__WHSN01	s__
1044	GFS_5502	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__UBA9464	g__	s__
1047	GFS_5510	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Tous-C4FEB	s__
1052	GFS_5549	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
1053	GFS_5551	1	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__SJA-28	f__OLB5	g__OLB5	s__
1054	GFS_5552	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
1058	GFS_5604	1	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Caenarcaniphilales	f__LMEP-6097	g__	s__
1059	GFS_5614	1	d__Bacteria	p__Omnitrophota	c__Koll11	o__UBA10015	f__GCA-002753745	g__	s__
1070	GFS_5656	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACPPC01	s__
1071	GFS_5662	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
1073	GFS_5684	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
1080	GFS_5699	1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
1081	GFS_5704	1	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__JAAFIG01	g__	s__
1087	GFS_5743	1	d__Bacteria	p__Desulfobacterota	c__Desulfuromonadia	o__Geobacterales	f__Pseudopelobacteraceae	g__JACRCG01	s__
1090	GFS_5747	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
1093	GFS_5756	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Pseudanabaenales	f__Pseudanabaenaceae	g__Pseudanabaena	s__
1094	GFS_5757	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Nibricoccus	s__
1095	GFS_5763	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
1098	GFS_5770	1	d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__UBA11236	f__UBA11236	g__Chersky-265	s__
1099	GFS_5775	1	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Geothrix	s__
1103	GFS_5800	1	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__CADEFY01	s__
1105	GFS_5804	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
1107	GFS_5813	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
1110	GFS_5822	1	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__UBA5189	s__
1112	GFS_5830	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__JADJPG01	g__JADJPG01	s__
1113	GFS_5832	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACMLX01	s__
1114	GFS_5845	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__JADJPG01	g__JADJPG01	s__
1115	GFS_5847	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__CAIYMF01	g__WLRQ01	s__
1118	GFS_5862	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__WHSN01	s__
1120	GFS_5928	1	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Baltobacterales	f__Baltobacteraceae	g__Palsa-1515	s__
1127	GFS_5956	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACDCY01	s__
1128	GFS_5961	1	d__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__UBA2268	g__	s__
1129	GFS_5964	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__JACPZS01	g__	s__
1130	GFS_5966	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__Gp6-AA45	s__
1131	GFS_5967	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__SIBH01	g__SIBH01	s__
1132	GFS_5972	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Pseudolysinimonas	s__
1138	GFS_5990	1	d__Bacteria	p__Omnitrophota	c__Koll11	o__UBA10015	f__GCA-002753745	g__JACQCF01	s__
1144	GFS_6018	1	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Baltobacterales	f__Baltobacteraceae	g__Palsa-1515	s__
1148	GFS_6050	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
1150	GFS_6091	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__	s__
1154	GFS_6110	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__SXWH01	s__
1158	GFS_6130	1	d__Bacteria	p__Omnitrophota	c__Omnitrophia	o__Omnitrophales	f__UBA2337	g__UBA2337	s__
1162	GFS_6178	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
1163	GFS_6183	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
1168	GFS_6199	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__Gp6-AA45	s__
1169	GFS_6203	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Nakamurellaceae	g__Nakamurella	s__Nakamurella sp014303395
1172	GFS_6222	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__FEN-1250	s__
